# Data catalog: 85690470 objects, total weight: 85690470
# Box size: [3000, 3000, 3000]
# Box boundaries: [[0,3000], [0,3000], [0,3000]]
# Grid size: 512 , assignment scheme: PCS , grid interlacing: enabled
# Shot noise: 315.0875471 , normalisation: 271957.6537 
# kcen(1) kmin(2) kmax(3) kavg(4) nmod(5) P_0(6) P_2(7) P_4(8)
0.005 0 0.01 0.00751294197 461 21769.49111 13067.84307 6025.955476
0.015 0.01 0.02 0.01619628335 3282 26637.28075 18225.96877 2198.659255
0.025 0.02 0.03 0.0257140542 8550 23740.93839 16189.70208 1754.302339
0.035 0.03 0.04 0.035428664 16746 18538.04968 12561.10558 720.3419769
0.045 0.04 0.05 0.04535061602 28012 14528.13664 9605.801113 757.5807346
0.055 0.05 0.06 0.05529853041 41334 12208.78342 7879.119356 547.91598
0.065 0.06 0.07 0.06524486022 57978 10789.1289 6763.878332 523.0044943
0.075 0.07 0.08 0.07522866115 77214 9265.074889 5614.811423 343.7125089
0.085 0.08 0.09 0.08520379316 98836 7695.982143 4623.250491 205.8617837
0.095 0.09 0.1 0.09517294519 123450 6253.390265 3690.392681 270.6044808
0.105 0.1 0.11 0.1051742909 151566 5320.610276 3010.035508 263.1706684
0.115 0.11 0.12 0.1151563517 180258 4773.842834 2675.887007 256.7834287
0.125 0.12 0.13 0.1251276945 213994 4338.392589 2285.204535 94.9039045
0.135 0.13 0.14 0.1351202143 249312 3885.592947 1978.746383 176.5595619
0.145 0.14 0.15 0.1451200546 288234 3411.764849 1675.508179 119.1696174
0.155 0.15 0.16 0.1551128582 328254 2983.473529 1446.991176 157.4931746
0.165 0.16 0.17 0.1651014799 372706 2653.382843 1242.470693 98.50312756
0.175 0.17 0.18 0.17510115 419268 2417.4391 1080.038616 134.2421524
0.185 0.18 0.19 0.1850949549 467934 2225.379689 915.3124453 105.5929244
0.195 0.19 0.2 0.1950869152 520266 2057.256946 795.8222032 96.08715185
0.205 0.2 0.21 0.2050862903 575338 1863.577542 676.2809997 98.37519428
0.215 0.21 0.22 0.2150784886 631542 1699.714752 614.6479141 97.1700458
0.225 0.22 0.23 0.2250727413 693156 1553.733624 528.6043897 76.69714973
0.235 0.23 0.24 0.2350790022 756318 1436.666567 462.4180496 87.57688954
0.245 0.24 0.25 0.2450722411 819802 1330.948923 390.5554086 64.71452382
0.255 0.25 0.26 0.255062622 889722 1241.321457 333.4807826 78.58925732
0.265 0.26 0.27 0.2650691362 962232 1155.341524 284.3760438 90.47726194
0.275 0.27 0.28 0.2750644209 1032522 1072.162471 241.6431079 83.85727899
0.285 0.28 0.29 0.2850594624 1112626 1002.740605 203.1755125 76.36506804
0.295 0.29 0.3 0.2950638426 1190478 935.3450693 168.357018 79.45398064
0.305 0.3 0.31 0.305056708 1271322 873.8239483 141.3493114 71.98382968
0.315 0.31 0.32 0.3150471923 1356528 825.0619887 109.9088445 78.07821989
0.325 0.32 0.33 0.3250504088 1447018 772.8438446 86.24249975 79.3369493
0.335 0.33 0.34 0.3350491312 1533018 731.4237528 58.58457041 78.4719603
0.345 0.34 0.35 0.3450491493 1630854 687.2231564 52.03190466 70.26489177
0.355 0.35 0.36 0.3550481471 1721412 647.7870995 37.69924916 77.90828621
0.365 0.36 0.37 0.36504087 1822786 614.8161466 17.81529196 75.13956947
0.375 0.37 0.38 0.3750423272 1924134 581.1596667 0.6195172183 75.60114747
0.385 0.38 0.39 0.3850448789 2028546 552.1133617 -11.21224799 73.24217943
0.395 0.39 0.4 0.3950437152 2133384 523.0717368 -23.88324384 75.55481236
0.405 0.4 0.41 0.4050431666 2244858 498.3623842 -28.71382848 76.77757767
0.415 0.41 0.42 0.4150455815 2356306 473.0101154 -37.58824238 72.60775211
0.425 0.42 0.43 0.4250443129 2470302 449.0613681 -45.91570493 73.84304716
0.435 0.43 0.44 0.4350383852 2586402 429.8524862 -54.5717817 73.08220395
0.445 0.44 0.45 0.4450362652 2710164 409.5319092 -58.4352031 69.4315574
0.455 0.45 0.46 0.4550371812 2831374 391.5345679 -64.14779298 76.07151058
0.465 0.46 0.47 0.465038323 2959338 374.5965051 -68.61557843 71.17756753
0.475 0.47 0.48 0.4750351699 3083238 357.8024545 -70.24579282 71.49795599
0.485 0.48 0.49 0.4850288995 3217212 341.9976271 -74.55149528 74.227881
0.495 0.49 0.5 0.4950335536 3355498 328.6350837 -79.46371965 73.64845699
0.505 0.5 0.51 0.505036056 3486654 315.3870998 -81.68785892 72.81855582
0.515 0.51 0.52 0.5150299615 3625866 302.9222589 -81.70681794 71.05394837
0.525 0.52 0.53 0.5250286306 3771858 289.3065173 -84.82323613 72.85404982
